season,pos_group,n_drafted,n_hits,hit_rate,mean_player_return,mean_car_av,max_car_av,median_hit_rate,is_deep,class_quality,early_picks
2014,DL,20,1,0.05,0.12536273780887816,18.63157894736842,123,0.09090909090909091,FALSE,Thin,9
2014,EDGE,24,2,0.08333333333333333,0.1536463625680157,18.61111111111111,78,0.10256410256410256,FALSE,Thin,7
2014,IOL,33,8,0.24242424242424243,0.12525803988383719,27.75862068965517,103,0.1875,TRUE,Deep,14
2014,LB,32,6,0.1875,0.0846507777966678,21.29032258064516,105,0.1111111111111111,TRUE,Deep,12
2014,OT,12,2,0.16666666666666666,0.24056624362073592,34.27272727272727,75,0.2222222222222222,FALSE,Thin,8
2014,QB,14,2,0.14285714285714285,0.21035833175714014,23.90909090909091,93,0.2,FALSE,Thin,5
2014,RB,21,2,0.09523809523809523,0.09773976067968558,13.722222222222221,49,0.13043478260869565,FALSE,Thin,7
2014,S,5,0,0,0.19956487065414402,NA,NA,0.23076923076923078,FALSE,Thin,0
2014,TE,10,1,0.1,0.0786987221855034,9.571428571428571,29,0.15789473684210525,FALSE,Thin,7
2014,WR,34,6,0.17647058823529413,0.15743501297577853,21.322580645161292,92,0.11428571428571428,TRUE,Deep,16
2015,CB,30,2,0.06666666666666667,0.09691407117760398,12.310344827586206,63,0.10714285714285714,FALSE,Thin,14
2015,DL,22,2,0.09090909090909091,0.15905318768264315,20.40909090909091,57,0.09090909090909091,FALSE,Thin,8
2015,EDGE,39,4,0.10256410256410256,0.1324562433284543,22.11111111111111,83,0.10256410256410256,FALSE,Thin,19
2015,IOL,27,6,0.2222222222222222,0.1098628880080963,25.772727272727273,55,0.1875,TRUE,Deep,8
2015,LB,18,2,0.1111111111111111,0.11965557822358232,20.5,64,0.1111111111111111,FALSE,Thin,5
2015,OT,19,2,0.10526315789473684,0.15265183001823654,23.72222222222222,62,0.2222222222222222,FALSE,Thin,11
2015,QB,7,2,0.2857142857142857,0.24595355183874193,25,63,0.2,TRUE,Deep,4
2015,RB,22,5,0.22727272727272727,0.11777669688120251,15.904761904761905,54,0.13043478260869565,TRUE,Deep,8
2015,S,16,3,0.1875,0.10584239578184217,14.363636363636363,42,0.23076923076923078,FALSE,Thin,4
2015,TE,19,1,0.05263157894736842,0.08244569288389512,5.5,14,0.15789473684210525,FALSE,Thin,4
2015,WR,35,4,0.11428571428571428,0.11342064075630252,16.35483870967742,90,0.11428571428571428,FALSE,Thin,14
2016,CB,32,4,0.125,0.15204344291907512,15.34375,84,0.10714285714285714,TRUE,Deep,15
2016,DL,23,4,0.17391304347826086,0.21977472689415187,31.73913043478261,96,0.09090909090909091,TRUE,Deep,14
2016,EDGE,35,4,0.11428571428571428,0.16983720384705606,22.973684210526315,76,0.10256410256410256,TRUE,Deep,20
2016,IOL,24,3,0.125,0.11892011181982833,24.227272727272727,84,0.1875,FALSE,Thin,10
2016,LB,18,5,0.2777777777777778,0.13948140277305526,15.583333333333334,52,0.1111111111111111,TRUE,Deep,2
2016,OT,17,5,0.29411764705882354,0.1622141773711902,22,64,0.2222222222222222,TRUE,Deep,7
2016,QB,15,3,0.2,0.23999721329046084,25.923076923076923,106,0.2,FALSE,Thin,6
2016,RB,23,3,0.13043478260869565,0.08724706607897553,15.05,85,0.13043478260869565,FALSE,Thin,4
2016,S,19,2,0.10526315789473684,0.10127357320637234,18.36842105263158,66,0.23076923076923078,FALSE,Thin,7
2016,TE,11,2,0.18181818181818182,0.08913391015241642,11.7,37,0.15789473684210525,TRUE,Deep,3
2016,WR,31,3,0.0967741935483871,0.12038751185958253,15.038461538461538,98,0.11428571428571428,FALSE,Thin,9
2017,CB,31,4,0.12903225806451613,0.1549692775114894,17.620689655172413,62,0.10714285714285714,TRUE,Deep,18
2017,DL,23,1,0.043478260869565216,0.11576046549216097,15.904761904761905,50,0.09090909090909091,FALSE,Thin,6
2017,EDGE,32,3,0.09375,0.17531707294986962,22.333333333333332,104,0.10256410256410256,FALSE,Thin,20
2017,IOL,16,3,0.1875,0.06417251358374675,22.923076923076923,73,0.1875,FALSE,Thin,6
2017,LB,19,1,0.05263157894736842,0.108541563020097,19,57,0.1111111111111111,FALSE,Thin,8
2017,OT,17,3,0.17647058823529413,0.16873290041238087,18.75,64,0.2222222222222222,FALSE,Thin,4
2017,QB,10,3,0.3,0.27145644032532623,26.77777777777778,115,0.2,TRUE,Deep,6
2017,RB,30,7,0.23333333333333334,0.11855239419644925,25.653846153846153,86,0.13043478260869565,TRUE,Deep,8
2017,S,25,7,0.28,0.13022265941670785,20.125,63,0.23076923076923078,TRUE,Deep,11
2017,TE,14,3,0.21428571428571427,0.10915851509142982,15.307692307692308,60,0.15789473684210525,TRUE,Deep,6
2017,WR,32,3,0.09375,0.13495872587316177,15.166666666666666,63,0.11428571428571428,FALSE,Thin,14
2018,CB,28,3,0.10714285714285714,0.13317296461183112,13.615384615384615,49,0.10714285714285714,FALSE,Thin,11
2018,DL,22,1,0.045454545454545456,0.16585659569674438,23.5,53,0.09090909090909091,FALSE,Thin,11
2018,EDGE,34,2,0.058823529411764705,0.144648352294441,18.727272727272727,82,0.10256410256410256,FALSE,Thin,16
2018,IOL,18,4,0.2222222222222222,0.13188713415120493,29.266666666666666,79,0.1875,TRUE,Deep,8
2018,LB,26,5,0.19230769230769232,0.10797247085661262,20.608695652173914,84,0.1111111111111111,TRUE,Deep,5
2018,OT,20,5,0.25,0.19384285288862416,22.857142857142858,69,0.2222222222222222,TRUE,Deep,12
2018,QB,13,4,0.3076923076923077,0.26590290249384335,36.9,111,0.2,TRUE,Deep,6
2018,RB,21,2,0.09523809523809523,0.09471079427076959,13.761904761904763,65,0.13043478260869565,FALSE,Thin,8
2018,S,18,5,0.2777777777777778,0.14775765571929256,24.77777777777778,61,0.23076923076923078,TRUE,Deep,8
2018,TE,15,2,0.13333333333333333,0.14508334147532975,16.866666666666667,51,0.15789473684210525,FALSE,Thin,5
2018,WR,34,3,0.08823529411764706,0.1400715846121057,14.419354838709678,61,0.11428571428571428,FALSE,Thin,10
2019,CB,31,1,0.03225806451612903,0.10880096427905489,9.310344827586206,40,0.10714285714285714,FALSE,Thin,11
2019,DL,21,4,0.19047619047619047,0.15710846420352526,22.27777777777778,62,0.09090909090909091,TRUE,Deep,9
2019,EDGE,27,3,0.1111111111111111,0.17391981824658342,18.045454545454547,61,0.10256410256410256,TRUE,Deep,9
2019,IOL,17,5,0.29411764705882354,0.1143986703114981,21.88888888888889,49,0.1875,TRUE,Deep,8
2019,LB,29,2,0.06896551724137931,0.08847025826475698,20.733333333333334,51,0.1111111111111111,FALSE,Thin,11
2019,OT,23,4,0.17391304347826086,0.16107380243342126,16.523809523809526,42,0.2222222222222222,FALSE,Thin,12
2019,QB,11,2,0.18181818181818182,0.2287210088946423,18.7,71,0.2,FALSE,Thin,5
2019,RB,25,4,0.16,0.10193190138466734,15.909090909090908,57,0.13043478260869565,TRUE,Deep,7
2019,S,21,2,0.09523809523809523,0.13250121000781265,15.7,41,0.23076923076923078,FALSE,Thin,9
2019,TE,16,3,0.1875,0.09094101123595505,8.466666666666667,33,0.15789473684210525,TRUE,Deep,8
2019,WR,28,7,0.25,0.15914968112244898,17.64,73,0.11428571428571428,TRUE,Deep,13
2020,CB,27,3,0.1111111111111111,0.14298046079947893,9.76923076923077,33,0.10714285714285714,TRUE,Deep,11
2020,DL,20,1,0.05,0.13787292004817003,12.95,38,0.09090909090909091,FALSE,Thin,9
2020,EDGE,22,1,0.045454545454545456,0.1566881844883302,11.095238095238095,32,0.10256410256410256,FALSE,Thin,9
2020,IOL,27,7,0.25925925925925924,0.11398303350770496,15.625,36,0.1875,TRUE,Deep,6
2020,LB,32,2,0.0625,0.07586367336969796,14.5,54,0.1111111111111111,FALSE,Thin,14
2020,OT,20,3,0.15,0.1436822303685124,17.95,64,0.2222222222222222,FALSE,Thin,11
2020,QB,13,4,0.3076923076923077,0.2919037564491574,31.4,79,0.2,TRUE,Deep,5
2020,RB,18,3,0.16666666666666666,0.10587963795380638,14.222222222222221,58,0.13043478260869565,TRUE,Deep,10
2020,S,23,2,0.08695652173913043,0.11676284475823397,17.565217391304348,44,0.23076923076923078,FALSE,Thin,10
2020,TE,12,1,0.08333333333333333,0.08842762128325508,5.5,25,0.15789473684210525,FALSE,Thin,5
2020,WR,35,7,0.2,0.1748909708249497,15.628571428571428,65,0.11428571428571428,TRUE,Deep,16
2021,CB,48,5,0.10416666666666667,0.13616981775850992,9.979166666666666,51,0.10714285714285714,FALSE,Thin,19
2021,DL,31,2,0.06451612903225806,0.14722352133882294,11.6,38,0.09090909090909091,FALSE,Thin,12
2021,EDGE,25,1,0.04,0.12056505747126436,6.909090909090909,32,0.10256410256410256,FALSE,Thin,6
2021,IOL,32,6,0.1875,0.10871378105012643,17.68421052631579,64,0.1875,FALSE,Thin,20
2021,LB,18,2,0.1111111111111111,0.1021626882180832,16.45,67,0.1111111111111111,FALSE,Thin,11
2021,OT,14,3,0.21428571428571427,0.20302932702761467,8.285714285714286,18,0.2222222222222222,FALSE,Thin,3
2021,QB,10,2,0.2,0.26380112540192924,16.8,52,0.2,FALSE,Thin,8
2021,RB,20,4,0.2,0.09775036774363018,11.894736842105264,33,0.13043478260869565,TRUE,Deep,4
2021,S,11,2,0.18181818181818182,0.10343022663610899,9.8,29,0.23076923076923078,FALSE,Thin,2
2021,TE,11,2,0.18181818181818182,0.10788983467635153,8.363636363636363,28,0.15789473684210525,TRUE,Deep,5
2021,WR,35,4,0.11428571428571428,0.11290649801587302,10.764705882352942,58,0.11428571428571428,FALSE,Thin,15
2022,CB,43,7,0.16279069767441862,0.17762335887440067,11.282608695652174,36,0.10714285714285714,TRUE,Deep,16
2022,DL,18,0,0,0.10089309972922116,6.705882352941177,24,0.09090909090909091,FALSE,Thin,5
2022,EDGE,29,4,0.13793103448275862,0.148182045813437,9.892857142857142,32,0.10256410256410256,TRUE,Deep,16
2022,IOL,35,5,0.14285714285714285,0.10000238413973353,13.972222222222221,34,0.1875,FALSE,Thin,17
2022,LB,26,2,0.07692307692307693,0.08199805469097378,9.653846153846153,35,0.1111111111111111,FALSE,Thin,12
2022,OT,14,4,0.2857142857142857,0.21068118069145464,11.777777777777779,25,0.2222222222222222,TRUE,Deep,3
2022,QB,9,1,0.1111111111111111,0.2292794450398952,11.875,44,0.2,FALSE,Thin,4
2022,RB,23,5,0.21739130434782608,0.11633565171708865,11.434782608695652,43,0.13043478260869565,TRUE,Deep,6
2022,S,13,3,0.23076923076923078,0.1322114486820369,10.8,31,0.23076923076923078,FALSE,Thin,5
2022,TE,19,3,0.15789473684210525,0.11340775784655145,7.157894736842105,29,0.15789473684210525,FALSE,Thin,4
2022,WR,28,5,0.17857142857142858,0.16867531622023807,12.357142857142858,36,0.11428571428571428,TRUE,Deep,17
